Dimensions: 1920,1080
Gates: 2
GatePos: 0.5,0.7,1.5707963267948966
GateX: 1057.2,1057.2,862.8,862.8
GateY: 486.0,162.0,162.0,486.0
TopX: 1057.2,1057.2,862.8,862.8
TopY: 486.0,456.0,456.0,486.0
BottomX: 1057.2,1057.2,862.8,862.8
BottomY: 162.0,192.0,192.0,162.0
GatePos: 0.9,0.5,1.5707963267948966
GateX: 1792.8,1792.8,1663.2,1663.2
GateY: 648.0,432.0,432.0,648.0
TopX: 1792.8,1792.8,1663.2,1663.2
TopY: 648.0,628.0,628.0,648.0
BottomX: 1792.8,1792.8,1663.2,1663.2
BottomY: 432.0,452.0,452.0,432.0
Surfaces: 1
IsDeepTissue: false
SurfaceX: 0.0,384.0,384.0,768.0,768.0,1152.0,1152.0,1536.0,1536.0,1920.0
SurfaceY: 0.0,54.0,1080.0,1080.0,54.0,54.0,1080.0,1080.0,54.0,0.0
